 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.8.t: "National Syndicalism"
 spain.8.d: "Anti-parliamentary and contrary to political parties, it defends corporatism based on a totalitarian state through a single and vertical union in which would be joined by employers and workers at the service of the nation. It defines anti-capitalist and anti-Marxist (third position) and stands out for its extreme nationalism and its defense of Catholicism, contemplating the revolutionary way to reach its political objectives."
 spain.8.o1: "¡Arriba España!"
 spain.9.t: "Black Agenda"
 spain.9.d: "Totalitarian rulers with their rhetoric against the oligarchy and corrupt politicians are spreading among many Spaniards, and it is possible that their popularity could continue to increase until it reaches the highest levels of power. But until then, everything is just speculation."
 spain.9.o1: "Interesting"
 spain.10.t: "Purge the Army"
 spain.10.d: "Our intelligence agencies have carried out operations throughout the country to eliminate all political enemies within the Armed Forces, purging the traitors of our glorious nation. We are now free of leftist influence and can begin to build our New Spanish Empire."
 spain.10.o1: "Excellent"
 spain.11.t: "Purge the Police"
 spain.11.d: "Our intelligence agencies have carried out operations throughout the country to eliminate all political enemies framed in the State Security Forces and Corps, purging the traitors of our glorious nation. We are now free of leftist influence and can begin to build our New Spanish Empire."
 spain.11.o1: "Excellent"
 spain.12.t: "Purge the Education System"
 spain.12.d: "Administrative repression will be practiced in the Education System with special intensity, both in primary and secondary education as in universities. Pioneering institutions of higher education and leftist court research are dismantled because they are considered subversive, and educational content will be revised to fit the strict political, religious and cultural criteria of the New Regime at all levels of education."
 spain.12.o1: "Excellent"
 spain.13.t: "Purge the Administration"
 spain.13.d: "Practiced with all state officials, both in central institutions, as well as in councils and municipalities, it is carried out through a purge process known as the debugging. Officials are punished with sanctions ranging from imprisonment, forced transfer, suspension of employment and salary, disqualification and separation. In order to obtain a place, priority was given to those loyal to the Movement, and it was required to present "certificates of good conduct" issued by the local chief of FET and JONS through the reports of the Information Service Research- ."
 spain.13.o1: "Excellent"
 spain.14.t: "Purge the Intellectuals"
 spain.14.d: "Our intelligence agencies have carried out operations across the country to eliminate all political enemies who are part of the hateful red intelligentsia, purging the traitors of our glorious nation. We are now free of leftist influence and can begin to build our New Spanish Empire."
 spain.14.o1: "Excellent"
 spain.15.t: "Purge political enemies"
 spain.15.d: "Our intelligence agencies have carried out a last operation throughout the country to eliminate all remaining intellectuals, purging the traitors of our glorious nation. We are now free of leftist influence and can begin to build our new Pacific empire."
 spain.15.o1: "Excellent"
 spain.16.t: "The Central Corridor"
 spain.16.d: "The Central Corridor is a rail corridor of passengers and merchandise that travels from the north to the Iberian Peninsula. Along with the Atlantic Corridor and the Mediterranean Corridor are the three main transport networks of both people and goods of the Iberian peninsula with the rest of the European continent. The initial stretch belongs to the High Speed ​​Line Madrid-Zaragoza-Barcelona-French Border. The freight route is separated in the Penedes, continuing along the conventional Barcelona-Madrid line via Caspe. From Madrid, the passenger corridor runs along the Madrid-Sevilla high-speed line, and the freight train continues on the conventional route via Despeñaperros. In Andalusia the corridor ends in the ports of Seville and Algeciras, adding part of the Axis Transverse Railroad of Andalusia that serves to communicate both ports."
 spain.16.o1: "Excellent"
 spain.17.t: "The Mediterranean Corridor"
 spain.17.d: "The Mediterranean Corridor is the term under which is denominated a set of railway lines in the east of Spain destined to the transport of passengers and merchandise and that run mainly parallel to the Mediterranean coast. Its route covers the autonomous communities of Catalonia, Valencian Community, Murcia and Andalusia. Due to its connection with the European high-speed lines and its interoperability with the main Spanish ports, it is one of the most important railroads in the economic and commercial area of ​​the country. The concept comprises several different lines, both by its type (high speed, conventional line, goods line ...), its situation (in service, in project construction, in planning ...), and its scope. Next to the Central Corridor and the Atlantic Corridor is one of the three main transport lines of the Iberian Peninsula with the rest of the European continent of both people and goods. Among the different past and future lines that are included in the Mediterranean Corridor are three: the line between Barcelona and La Encina (Alicante) remodeled to allow traffic at 220 km / h, the high speed line that complements the previous one between Almería And the French border that is partially under construction, and a future line dedicated to merchandise."
 spain.17.o1: "Excellent"
 spain.18.t: "The Atlantic Corridor"
 spain.18.d: "The Atlantic Corridor is a passenger and freight rail corridor that connects the ports of the Atlantic facade with the interior and the rest of Europe. Along with the Central Corridor and the Mediterranean Corridor will be the three main transport networks of both people and goods of the Iberian peninsula with the rest of the European continent. The main section runs through Madrid-Irún, through the reformed conventional line and the high-speed lines that make up this route: LAV Madrid-Valladolid, part of LAV Valladolid-León, LaV Venta de Baños-Burgos-Miranda Of Ebro and the Basque Y. From this trunk leaves branches for passengers and goods to Bilbao, Oviedo (from Venta de Baños) and Portugal via Salamanca (from Medina del Campo). Also included is the Galician cross axis, mixed between La Coruña and Santiago de Compostela, and to Vigo for goods. The connection between this axis and the main one is made through the Olmedo-Zamora-Galicia high speed line for travelers, and from Leon for goods. Santander will join the road through Bilbao. Logistic nodes are planned in Madrid, Valladolid, Lezo, Zalia, Salamanca, Monforte de Lemos, Vigo and La Coruña."
 spain.18.o1: "Excellent"
 spain.19.t: "Economic and Social Development Plans I"
 spain.19.d: "The poles of industrial development appear, with important incidence in cities like Valladolid, Vigo, Corunna, Saragossa and Seville. It focuses on the Polo Industrial Promotion of Burgos and the Chemical Pole of Huelva. A result of a 6.4% increase in P.N.B."
 spain.19.o1: "Excellent"
 spain.20.t: "Economic and Social Development Plans II"
 spain.20.d: "The poles of industrial development arise, consolidating the already developed ones, with important incidence in cities like Bilbao, Leon, Castellón, Zaragoza and Ciudad Real. It focuses on the increase of raw materials and the steel sector. A result of a 7.4% increase in P.N.B."
 spain.20.o1: "Excellent"
 spain.21.t: "Economic and Social Development Plans III"
 spain.21.d: "The poles of industrial development in Valladolid, Zaragoza and Seville are replaced (although obviously that does not mean that they disappear) by new ones considered more priority in Granada, Cordoba and Oviedo."
 spain.21.o1: "Excellent"
 spain.22.t: "State National Syndicalism"
 spain.22.d: "Fascism is a totalitarian movement insofar as it aspires to intervene in all aspects of the individual's life. Any form of individual or collective action alien to the ends of the State is rejected. There has been a "nationalization" of all areas of life: economic, social, political, cultural and ideological. The social framing is carried out with all means of propaganda, with the adoption of uniforms and military language and the massive use of patriotic and indoctrinating symbols and slogans. Large concentrations and collective mobilizations of all kinds seek to form the unitary consciousness. The identification of people and state is done in an organic whole, that of a quasi-biological and autonomous organism whose members are to respond to the orders of the directing mind."
 spain.22.o1: "¡Arriba España!"
 spain.23.t: "Promotion of Economic Growth"
 spain.23.d: "From the different administrations of the State, measures are being implemented to promote and strengthen the economic fabric of Spain, both in the private sector and in the State."
 spain.23.o1: "Excellent"
 spain.24.t: "Strengthening of the Peseta"
 spain.24.d: "On the part of the current government have been carried out measures in relation to the national monetary policy, to adapt to the present and future economic reality of the nation. Being the most controversial aspect in the system that supports the national currency, or to follow as a booster the Bank of Spain or transform the current system to the Silver System."
 spain.24.o1: "Bank of Spain"
 spain.24.o2: "Gold System"
 spain.25.t: "Program for Aid to Reindustrialization"
 spain.25.d: "The Program for Aid to Reindustrialization is a line of action that plays an important role in the economic and social development of the State as a whole, through the creation of new industrial fabric or the adaptation of the existing one to the technological improvements available in the territorial areas of Lower income and those especially affected by restructuring processes and / or industrial relocation. The question that we are facing is to move towards rapid industrial growth regardless of its consequences, or to focus on the generation of new technologies and renewable energies."
 spain.25.o1: "Heavy industry"
 spain.25.o2: "Renewable Energy"
 spain.26.t: "Agricultural Improvement"
 spain.26.d: "The agricultural sector stands out as one of the sectors of the economy that can be dynamized and competitive in the international market. To whom will we attach greater importance?"
 spain.26.o1: "With the landowners"
 spain.26.o2: "With the peasants"
 spain.27.t: "Offer from the Spanish State"
 spain.27.d: "The Spanish national company CEPSA claimed they've found a oil deposit off the shores of our country... they offered to build oil wells and stuff, while giving us our fair share. Should we accept?"
 spain.27.o1: "Of course we should"
 spain.27.o2: "It's our oil and we don't want to share it with anyone!"
 spain.28.t: "[From.GetName] refuses oil deal!"
 spain.28.d: "Our fair offer sent to [From.GetName] was refused! They claim the oil deposit is their, and they don't want to share it with anyone."
 spain.28.o1: "They are gonna pay for that."
 spain.29.t: "[From.GetName] accepts oil deal!"
 spain.29.d: "Our offer has been accepted by the [From.GetAdjective] government. They will allow us to build oil wells in the new oil deposit we found, as long as they will get their fair share out of it."
 spain.29.o1: "We get resources, they get resources. Win-win!"
 spain.30.t: "Offer from the Spanish State"
 spain.30.d: "The Spanish national company CEPSA claimed they've found a oil deposit off the shores of our country... they offered to build oil wells and stuff, while giving us our fair share. Should we accept?"
 spain.30.o1: "Of course we should"
 spain.30.o2: "It's our oil and we don't want to share it with anyone!"
 spain.31.t: "Our offer refused!"
 spain.31.d: "Our fair offer sent to [From.GetName] was refused! They claim the oil deposit is their, and they don't want to share it with anyone."
 spain.31.o1: "They are gonna pay for that."
 spain.32.t: "Spanish Economic Miracle"
 spain.32.d: "The recent boom in the industry has given our national economy a surprising and in most cases unexpected momentum, from construction to finance and many other sectors. There has been an expansion of industries in the former industrial areas, in the Basque Country and the north coast of Ferrol or Vigo (metallurgy, shipbuilding), around Barcelona (automobiles, machinery, textile, petrochemical) and Consolidation of Madrid as an important industrial and commercial area. Spain has the third highest growth rate in the world and has become one of the largest economy in the world. We are now called to exercise our deserved place among the powers and to influence politically those nations that are within our sphere of influence."
 spain.32.o1: "Hispanic America"
 spain.32.o2: "Europa"
 spain.33.t: "The Spanish National Research Council"
 spain.33.d: "The Spanish National Research Council (Spanish: Consejo Superior de Investigaciones Científicas, CSIC) is the largest public institution dedicated to research in Spain and the third largest in Europe. Its main objective is to develop and promote research that will help bring about scientific and technological progress, and it is prepared to collaborate with Spanish and foreign entities in order to achieve this aim. CSIC plays an important role in scientific and technological policy, since it encompasses an area that takes in everything from basic research to the transfer of knowledge to the productive sector. Its research is driven by its centres and institutes, which are spread across all the autonomous regions. CSIC has 6% of all the staff dedicated to Research and Development in Spain, and they generate approximately 20% of all scientific production in the country. It also manages a range of important facilities; the most complete and extensive network of specialist libraries, and also has joint research units."
 spain.33.o1: "Excellent"
 spain.34.t: "Area of ​​Spanish Influence"
 spain.34.d: "Once economic development has been consolidated and diplomatic action has taken place among the sister nations of the Hispanic community, different trade agreements have been made to guarantee markets for our products and the obtaining of raw materials, displacing the eternal enemies of the Hispanic races."
 spain.34.o1: "Excellent"
 spain.35.t: "Spanish National Health System"
 spain.35.d: "Recognition that the right to health protection is a fundamental human right and the conviction that the pursuit of the highest possible level of health is an inalienable objective throughout the world."
 spain.35.o1: "Health For All"
 spain.35.o2: "The General Health Law"
 spain.36.t: "Nationalize the Banking"
 spain.36.d: "We defend the tendency to nationalize the Banking service and, through corporations, to that of large public services."
 spain.36.o1: "Nationalize"
 spain.36.o2: "Limitation"
 spain.37.t: "Research and Technology"
 spain.37.d: "We must raise the whole trance the level of research, permanent nursery of Spain. To this end, we are committed to carrying out the economic reform and the social reform of Research and Technology."
 spain.37.o1: "Genetics Research"
 spain.37.o2: "Computing Politics"
 spain.38.t: "Productivity and Competitiveness"
 spain.38.d: "Improving the competitiveness of Spanish industry could generate additional GDP growth of 2.3%. To realize this increase, it would be necessary to increase productivity per employee and boost investment in R & D, which would translate into increases in activity of 1.13% and 1.17%, respectively. But if the industry were able to increase the average size of its companies and Spain as a country to improve factors such as the quality of education or the administrative burden, this contribution to economic growth would be much greater. In terms of R & D, Spanish industry invests 0.84% ​​of the value of its production, while the European average exceeds 1.5%, or almost double. If we calculate that every 10% of R & D differential would imply a GDP growth of 0.13%, the improvement of this factor would be equivalent to a GDP increase of 1.17%. The possibilities of increasing the volume of investment in R & D in Spanish industry are, among other measures, attracting one or more of the innovation centers that large multinationals have deployed in other countries - which is not easy to prioritize. , And / or to enhance the innovative activity of small and medium local industry."
 spain.38.o1: "To invest I+D"
 spain.38.o2: "Wage policy (Reduce and Freeze)"
 spain.39.t: "¡Una, Grande y Libre!"
 spain.39.d: "We have Empire will. We affirm that the historical fullness of Spain is the Empire. We demand for Spain a pre-eminent place in Europe. We can not bear neither international isolation nor foreign mediation. With regard to the countries of Latin America, we tend to unify culture, economic interests and power. Spain claims its status as the spiritual axis of the Hispanic world as a title of preeminence in universal companies. Our armed forces-on land, at sea, and in the air-must be as capable and numerous as is necessary to ensure Spain at all times the complete independence and the world hierarchy that corresponds to it. We return to the Army of land, sea and air all the public dignity it deserves and we will, in its image, make a military sense of life inform the whole Spanish existence. Spain will return to seek its glory and its wealth by the routes of the sea. Spain has to aspire to be a great maritime power, for war and for commerce."
 spain.39.o1: "Enhancing Diplomacy"
 spain.39.o2: "Empower Militarism"
 spain.40.t: "Spain demands immediate annexation!"
 spain.40.d: "An outrageous demand has just reached us, Spain asks for our immediate annexation! The nation is ready to face war with Spain, but many lives could be lost, and the possibilities that our country will win the war are few... What should we do?"
 spain.40.o1: "Looks like we are all Spanish now..."
 spain.40.o2: "Outrageous Demands! The International community will surely back us."
 spain.41.t: "[From.GetName] accept to be annexed!"
 spain.41.d: "[From.GetName] has decided to accept our requests, they are now part of the Spanish State."
 spain.41.o1: "Bien."
 spain.42.t: "[From.GetName] rechazan la anexión!"
 spain.42.d: "[From.GetName] has decided not to accept our requests..."
 spain.42.o1: "[From.GetName] is soon to be a wasteland then!"
 spain.43.t: "¡Viva el Rey!"
 spain.43.d: "Today, monarchist supporters organized a coup in Madrid, Spain, leading their candidate to become absolute monarch."
 spain.43.o1: "Casa de Borbón"
 spain.43.o2: "Casa de Borbón-Parma"
 spain.44.t: "Spanish Political Influence"
 spain.45.t: "Neomercantilism"
 spain.45.d: "Neomercantilism is a policy regime that encourages exports, discourages imports, controls capital movement, and centralizes currency decisions in the hands of a central government. The objective of neo-mercantilist policies is to increase the level of foreign reserves held by the government, allowing more effective monetary policy and fiscal policy."
 spain.45.o1: "Interesting"
 spain.46.t: "Social State"
 spain.46.d: "It is considered that the social State is a socio-political-economic system defined by a set of legal, political and economic conditions. In general terms most authors of philosophy of law agree that a social state of law aims to strengthen services and guarantee rights, considered essential to maintain the standard of living necessary to participate as a full member in society."
 spain.46.o1: "Large"
 spain.46.o2: "Reduced"
 spain.47.t: "Reales Academias"
 spain.47.d: "The Real Academies are Spanish institutions of research and cultural, scientific and artistic divulgation. Many of them arose during the Enlightenment covered by the Crown as a way of establishing a centralized system of cultural institutions parallel to that formed by universities, which were seen as uncontrollable medieval vestiges by the State."
 spain.47.o1: "Excellent"
 spain.48.t: "Dismantle the Parliamentary Farce"
 spain.48.d: "Both the Senate and the Parliament are plagued by corrupt and plutocrats who only care about expanding their bank accounts in Switzerland. Let's end them by supporting us in the popular classes by strengthening our position as a monarch."
 spain.48.o1: "Excellent"
 spain.49.t: "Estatuto Fundamental de la Monarquía"
 spain.49.d: "Once we have done away with the parliamentary farce and repealed the expired current constitution, we are going to start a process that culminates with a new fundamental law of the Monarchy. The king does not constitute the "moderating power" proper to a Constitutional Monarchy, but its powers are close to those of the monarchs of the Old Regime. Name freely the ministers, without the ministers having to give account of their actions before the Cortes; He has the exclusive legislative initiative, together with the Government appointed by him, on matters as important as foreign policy, relations with the Catholic Church, trade agreements, defense, reform of the Constitution and taxes and prescriptions, and Has a right of veto over the laws approved by the Cortes, by sharing with them the legislative power; With the agreement of the Government appointed by him, may close the Cortes without any limitation and suspend without public rights and freedoms, in addition to the assumption of exceptional powers in cases of grave internal disturbance that threatens or jeopardizes general peace '; And may interfere with the decisions of the judiciary. In addition the king controls the Council of the Kingdom and its Standing Commission."
 spain.49.o1: "¡Viva el Rey!"
 spain.50.t: "Valores Tradicionales"
 spain.50.d: "History has shown that civilizations that are not biologically capable of perpetuating themselves are destined to disappear and disappear. Our civilization, Europe, today is not able to do so. Massive immigration, which many propose as a remedy, provokes tensions that lead to more conflicts and political earthquakes, due to cultural, religious and lifestyle differences. Common sense dictates that Spain and Europe in the future must face their demographic problems by a natural way, respecting and protecting family and Catholic moral values."
 spain.50.o1: "Fatherland, Faith and Family!"
 spain.51.t: "Plus Ultra"
 spain.51.d: "This motto was used to encourage sailors to challenge and forget the ancient Greek mythology warning that Hercules had placed two pillars in the Strait of Gibraltar, and was believed to be the boundary of the World, the last frontier that the Navigators of the Mediterranean could reach. It was the Non Terrae Plus Ultra in reference to Finisterre, but this motto lost its symbolic power as a result of Christopher Columbus arriving in the West Indies across the Atlantic Ocean in 1492. Since then, Has been the motto of Spain."
 spain.51.o1: "Potenciar la Diplomacia"
 spain.51.o2: "Potenciar el Militarismo"
 spain.52.t: "Gran Conquista de Ultramar"
 spain.52.d: "After the discovery of America in 1492, Spain explored and colonized large areas of territory in America, from the present southwest of the United States, Mexico, and the Caribbean, to Central America, most of South America, and the northwestern coast of North America (now Alaska And British Columbia). All these territories were integrated in the Crown of Castile and later in the Spanish Crown. Initially they were organized in two viceroyalties, that of New Spain and that of Peru. With the discovery and settlement of several Pacific archipelagos in the late sixteenth century, the Spanish East Indies formed by the Philippines, the Marianas (which included Guam) and the Carolinas (including the Palaos) were incorporated into the empire under the jurisdiction of The New Spain. Later, the Virreinato of Peru was divided in two: the one of New Granada and the one of Peru, and finally the one of the River of the Silver was created."
 spain.52.o1: "¡Viva el Rey!"
 spain.53.t: "Capitanía General de Cuba"
 spain.53.d: "The governorship of Cuba and the successor captain-general of the same name included the island of Cuba, Jamaica until 1655, the province of La Florida from 1567 and Spanish Louisiana from 1763. The Cuban administration was dominated since then by captains general, For the most part. Some of them were rewarded their performance being later elevated to viceroys of New Spain. From 1825, the captain general of Cuba was endowed with ample powers in the branches of Government, Justice and Finance, in addition to remaining the maximum military authority. And from the second half of the nineteenth century, it was also its general governor when the continental colonies in America had been lost."
 spain.53.o1: "¡Viva el Rey!"
 spain.54.t: "Capitanía General de Filipinas"
 spain.54.d: "In 1521, the arrival of the explorer Fernando de Magallanes marked the beginning of an era of influence and later Spanish dominion. Miguel López de Legazpi established the first Spanish settlement in the Philippines in 1565, with the founding of Cebu. In 1571 he founded the city of Manila, which would become the administrative and economic center of the Spanish Empire in Asia and the port of departure of the Manila Galleon bound for Acapulco. Three centuries of Spanish colonization gave rise to a Hispanic-Asian culture, evident in the art, music, gastronomy and customs of the Philippines, especially its Catholic religion. A Philippine variant of the Spanish language also emerged, which flourished in the second half of the 19th century and the first half of the 20th century."
 spain.54.o1: "¡Viva el Rey!"
 spain.55.t: "Virreinato del Perú"
 spain.55.d: "The immense viceroyalty covered much of the territory of South America, including Panama. It remained outside him, as well as realengo, Venezuela and Brazil, that on the Atlantic Ocean, belonged to Portugal."
 spain.55.o1: "¡Viva el Rey!"
 spain.56.t: "Virreinato de Nueva España"
 spain.56.d: "The viceroyalty of New Spain was an integral territorial entity of the Spanish Empire, established in much of North America by the Crown during its dominion in the New World, between centuries XVI and XIX. It originated after the fall of Mexico-Tenochtitlán, main event of the conquest, which properly did not end until much later, as its territory continued to grow towards the north."
 spain.56.o1: "¡Viva el Rey!"
 spain.57.t: "Legado Borbónico"
 spain.57.d: "His Majesty the King has stated in the Council of the Kingdom that following the example of The Hundred Thousand Sons of St. Louis we must now support the restoration of the reign of the House of Bourbon in France in the Legitimist branch represented by Luis Alfonso de Borbón, future Luis XX of France."
 spain.57.o1: "Vive le Roi!"
 spain.58.t: "Spain pursues European Policy"
 spain.58.d: "Recently the Prime Minister of Spain claimed that his country will now be following a policy of European friendship. The intentions of the European countries is to enlarge the union and eventually unify the country into a single one, which is set to become the undisputed superpower of the European Continent."
 spain.58.o1: "Interesting"
 spain.59.t: "Tratado de Maastricht"
 spain.59.d: "The Maastricht Treaty (formally, the Treaty on European Union or TEU) undertaken to integrate Europe was signed on 7 February 1992 by the members of the European Community in Maastricht, Netherlands. On 9–10 December 1991, the same city hosted the European Council which drafted the treaty. Upon its entry into force on 1 November 1993 during the Delors Commission, it created the three pillars structure of the European Union and led to the creation of the single European currency, the euro. TEU comprised two novel titles respectively on Common Foreign and Security Policy and Cooperation in the Fields of Justice and Home Affairs, which replaced the former informal intergovernmental cooperation bodies named TREVI and European Political Cooperation on EU Foreign policy coordination. In addition TEU also comprised three titles which amended the three pre-existing community treaties: Treaty establishing the European Atomic Energy Community, Treaty establishing the European Coal and Steel Community, and the Treaty establishing the European Economic Community which had its abbreviation renamed from TEEC to TEC (being known as TFEU since 2007)."
 spain.59.o1: "Interesting"
 spain.60.t: "Euro convergence criteria"
 spain.60.d: "One of the pillars of European economic policy is the Growth and Stability Pact. Established in Maastricht, it defines the economic conditions necessary to be integrated into the economic and monetary union project: a budget deficit of less than 3% of GDP, a public debt below 60% of GDP and inflation of less than 2%. The Growth and Stability Pact has generalized fiscal rigor among EU Member States, imposing austerity as the only adoptable economic policy. Having to adjust to a 3% government deficit requires, in a context of repeated regressive fiscal reforms, and above all, in the face of a situation marked by the fall in revenue, a reduction in public spending."
 spain.60.o1: "Spain is doing well!"
 spain.61.t: "Common Agricultural Policy"
 spain.61.d: "One of the pillars of food sovereignty is the right of peoples to organize their agri-food system and policies according to their needs. This is completely incompatible with the CAP (Common Agricultural Policy of the European Union), which promoted and continues to promote the dismantling of the agricultural sector in Spain in favor of the services sector, subsidizes monocultural and latifundist agriculture, and which only defends the interests Of a few landowners."
 spain.61.o1: "Spain is doing well!"
 spain.62.t: "Estate Liberalization"
 spain.62.d: "Under the argument that the high price of land, coupled with the discretion in management prevents access to housing, and in order to reduce the land, proposes measures aimed at increasing the supply of available land for urbanization. In order to do this, it eliminates the distinction between programmed and non-programmable urbanizable land, all of which is now developmentable."
 spain.62.o1: "Spain is doing well!"
 spain.63.t: "Systematization of Privatizations I"
 spain.63.d: "Aznar disposed of the crown jewels: Endesa, Tabacalera (now in Altadis), Repsol, Telefonica, Argentaria or Gas Natural, something that had already begun his predecessor in office. Only a year after winning the elections, in 1997, the PP began to sell. Under his mandate, the main companies in sectors of major importance in the Spanish economy, such as electricity, gas, oil, transport, telecommunications, were privatized. In total, some 50 companies were privatized, leaving an income of 30 billion euros Euros, of which more than 22,000 million correspond to IPOs. In 1996, the deficit was 5.5% and public debt amounted to 67.4%. According to the University of Oviedo study cited above, with Felipe González, the annual revenues obtained from privatizations represented only 10% of the deficit, while in 1997 and 1998 (with Aznar) the proportion increased to 60-75% , "Which contributed to the reduction of the deficit and public debt and to enable Spain to meet the Maastricht requirement of reducing the fiscal deficit to below 3% of GDP. Not everyone agrees with this supposed economic miracle of Aznar, since privatizations usually serve to reduce the level of public debt but not the structural deficit, since they only produce income in the year of sale. Aznar, the king of privatizations, later found accommodation in one of the companies he privatized, Endesa. As much other ex-politics."
 spain.63.o1: "Spain is doing well!"
 spain.64.t: "Systematization of Privatizations II"
 spain.64.d: "Managing the transition from traditionally industrial economies to the euphemistic "knowledge economy" has focused on the privatization and liberalization of large public enterprises and so-called strategic sectors such as energy, supplies, transport, infrastructure and telecommunications . The flexibility of the labor market, which is supposed to favor labor mobility in this transition process, has remained in a gross (un) regulation, deepened with the excuse of the current crisis, reducing the cost of labor and increasing labor precariousness."
 spain.64.o1: "Spain is doing well!"
 spain.65.t: "Lower Taxes"
 spain.65.d: "An Personal Income tax reform is carried out, in which this tax is reduced, in addition to creating fiscal instruments such as SICAVs, Foundations, and other means of legal tax evasion, which favor the higher incomes to the detriment of the majority of taxpayers. States do not have their own monetary policy, which is determined exclusively by the ECB. Competition between countries in tax matters has become the only tool used to govern industrial policy. The winners, once again, have been the large business groups that have seen national labor markets become more flexible and wages are reduced, as well as tax privileges."
 spain.65.o1: "Spain is doing well!"
 spain.66.t: "Reduction in Social Protection"
 spain.66.d: "The reduction in social protection expenditure (education, pensions, public health, citizen security ...) is a constant since the I Legislature of Spain. The common currency has become the definitive lever to institutionalize wage austerity and extend it to areas of socialized wages such as social protection, public services or pensions as the only possible economic policy."
 spain.66.o1: "Spain is doing well!"
 spain.67.t: "Treaty of Lisbon"
 spain.67.d: "At the same time the EU expanded, first to the South, then, liquidated the real socialism, to the East. The competitiveness of the countries of the South, always uncertain, was weakening and these countries became more and more buyers of the products of the North. In the East they found markets for their products (including their technology), well-trained and increasingly cheap labor, favorable investment areas, demand for their financial capital."
 spain.67.o1: "Spain is doing well!"
 spain.68.t: "European Regional Development Fund"
